pdes,name,H,diameter,albedo,rot_per,e,a,i,om,w,ma
2965,Surikov,12.4,8.6,0.0857,9.061,.2206680220006579,2.390861584759323,24.21825969707207,126.8999342440775,72.64189843953936,236.7237643717293
2976,Lautaro,10.7,38.42,0.0522,17.41,.1437652542773297,3.339698172123872,9.811035419089313,206.9806792021468,183.2386025397194,20.52048010755322
2983,Poltava,11.3,30.86,0.0614,8.865,.06072531988330206,2.847122592289977,4.267075599782853,247.8017005177982,86.95977837308745,333.2792989128307
2986,Mrinalini,12.1,20.53,0.0729,15.9,.1609522964323376,3.168497143120167,2.536968543018819,51.27340816731991,303.4979329791774,200.59151795089
2993,Wendy,12.0,10.64,0.1876,4.42,.1959484193798784,2.58520615802257,12.29449033358742,313.381998728548,74.75969275816831,185.0226300073707
2995,Taratuta,12.1,16.59,0.0704,11.14,.1356875564638739,2.615643556472103,14.83631305340628,169.7841809010558,329.298930797292,77.28588050226044
3013,Dobrovoleva,13.7,11.02,0.0696,8.3025,.1407642095722004,2.358670991064327,3.662157100631652,7.105156046641858,94.66554815745019,182.0336187998546
3017,Petrovic,11.6,15.95,0.1912,4.08033,.1276310776893808,2.608257265670367,11.82562187773561,257.6115128116595,216.94696865,247.3783513483903
3024,Hainan,10.70,35.63,0.0731,11.746,.1242698702599275,3.426855273634384,14.76210949924475,27.76257178445488,339.8019296768051,108.4507777829193
3028,Zhangguoxi,10.7,25.58,0.1417,4.826,.02995439575792901,3.018680720735766,9.520018271090043,189.530417756365,10.5053797210003,161.6592512742325
3036,Krat,10.3,42.39,0.1182,9.61,.09777952992316559,3.213182571423198,22.86492559990386,23.73787790105694,319.5260703965276,171.5064885789188
3037,Alku,11.7,18.91,0.1131,11.844,.1899544615672491,2.672095074883492,19.02682719823301,107.8063263796927,330.4115982361675,103.4774126686104
3051,Nantong,12.3,13.4,0.0752,3.690,.2581117374834309,2.593018954903044,13.35836827892421,280.1848165449902,93.4612162305326,264.9537639057468
3052,Herzen,13.5,15.18,0.0441,11.605,.1832072167219412,2.374008189862002,3.898831820773833,238.5475813220005,279.1221314232362,85.27770439512472
3062,Wren,10.7,24.97,0.1357,7.097,.1104860566504463,3.02219394978213,11.33699070866822,110.368587234569,272.0811146346524,81.78852691930426
3063,Makhaon,8.4,116.14,0.0476,8.64,.05974387177313022,5.202292047123761,12.16617049492428,287.8766141647739,204.8735221201881,69.02530390296374
3078,Horrocks,11.5,29.92,0.0452,13.620,.1015998697019753,3.149183985217027,7.095325130497206,32.47685418561261,141.7261300241471,184.5914554602299
3089,Oujianquan,11.2,33.72,0.0618,14.328,.1860301921944183,2.930269329326911,16.69480625228732,88.24151584854626,184.5933966178432,20.75282685024937
3094,Chukokkala,11.9,22.47,0.0555,8.3711,.07314063169998826,2.648344595798305,14.56253790647062,172.4846187339853,51.57334384223714,66.5425359152031
3103,Eger,15.38,1.5,0.64,5.7059,.3542254885030465,1.404544079208558,20.93230422575956,129.79824595,253.9929524590428,331.7790657463055
3104,Durer,10.6,18.6,0.1858,6.327,.08937121158732002,2.964351242832786,24.16319918898607,162.2253387471818,242.5243898527066,240.0214608087305
3109,Machin,12.0,22.94,0.0769,20.3,.08950897692349791,2.450498145591108,7.182143048555764,22.79949850571734,256.4621204646817,110.0910102035882
3115,Baily,11.0,18.04,0.1639,16.22,.1410622840958176,2.580641255184962,10.16842870192327,258.7187151017494,171.7533476005685,282.0989627517489
3118,Claytonsmith,10.90,32.86,0.0714,15.794,.05915391921127853,3.038538194472555,13.26749644657354,304.934930238273,257.6611025766973,306.6132917450021
3134,Kostinsky,10.4,50.01,0.0371,14.7,.2217197284809309,3.985460990810891,7.639642232113612,257.0002448473685,163.3604947267953,283.4072753229311
3139,Shantou,10.7,41.25,0.0598,8.33,.02284625421444796,3.193450031930513,20.53445140936093,252.9166544824595,106.6570698610284,42.08806500249432
3140,Stellafane,10.9,24.75,0.1259,19.23,.1076980792760543,3.019803280781276,11.26340671090585,101.6206479189648,268.5777956679168,125.7576868122246
3141,Buchar,10.7,36.05,0.0858,11.41,.07725396230549665,3.400180347426327,10.99694118445224,321.149704381008,152.1955875806914,181.7781674498431
3156,Ellington,11.5,27.66,0.0698,8.33,.1974514060056309,2.855462743017206,15.80671386349391,6.970140509213048,119.6522917640822,320.9840738894946
3161,Beadell,12.4,12.52,0.1629,36.253,.1709958227255503,2.571749045122077,14.93222511243388,351.5833098976856,255.5401388895771,212.1282229413484
